"years","patent_number","uspc_subclass_id","assignee_organization","assignee_type","assignee_country","assignee_state","assignee_key_id","num_inventors","specialization"
1979,"4142488","123/360","Daimler-Benz Aktiengesellschaft",3,"DE","",329040,3,"180/90.6"
1979,"4142489","123/406.66","Thomson-CSF",3,"FR","",267503,1,"123/617"
1979,"4142490","123/406.55","Nissan Motor Co., Ltd.",3,"JP","",43058,2,"180/90"
1979,"4142491","123/568.2","Toyota Jidosha Kabushiki Kaisha",3,"JP","",2267,2,"180/68.4"
1979,"4142492","123/568.11","Toyo Kogyo Co., Ltd.",3,"JP","",364454,3,"123/568.22"
1979,"4142493","123/568.21","The Bendix Corporation",2,"US","MI",47634,3,"180/429"
1979,"4142494","123/406.69","General Motors Corporation",2,"US","MI",38960,2,"180/9.5"
1979,"4142495","123/676","General Motors Corporation",2,"US","MI",38960,1,"180/9.5"
1979,"4142496","123/568.31","Nissan Motor Co., Ltd.",3,"JP","",43058,2,"180/90"
1979,"4142497","123/456","Allied Chemical Corporation",2,"US","NJ",122439,1,"123/491"
1979,"4142498","123/501","Caterpillar Tractor Co.",2,"US","IL",298496,1,"180/9.62"
1979,"4142499","123/339.29","Stanadyne, Inc.",2,"US","CT",58681,1,"123/90.51"
1979,"4142501","123/193.5","Nissan Motor Co., Ltd.",3,"JP","",43058,1,"180/90"
1979,"4142502","123/195A","Kubota Corporation",3,"JP","",387164,2,"180/6.7"
1979,"4142503","123/198D","Motorenfabrik Hatz GmbH & Co. KG",3,"DE","",13530,3,"180/54.1"
1979,"4142504","123/198D","Kawasaki Jukogyo Kabushiki Kaisha",3,"JP","",140438,2,"180/182"
1979,"4142505","123/211","Toyota Jidosha Kabushiki Kaisha",3,"JP","",2267,1,"180/68.4"
1979,"4142602","123/333","VDO Adolf Schindling AG",3,"DE","",198300,2,"180/179"
1979,"4142612","123/344","General Motors Corporation",2,"US","MI",38960,2,"180/9.5"
1979,"4142675","123/348","EATON CORPORATION",2,"US","OH",452507,1,"180/6.48"
1979,"4142683","123/470","The Bendix Corporation",2,"US","MI",47634,2,"180/429"
1979,"4143102","123/452","Pierburg GmbH",3,"DE","",226669,2,"123/454"
1979,"4143262","123/145A","Toyota Jidosha Kabushiki Kaisha",3,"JP","",2267,3,"180/68.4"
1979,"4143620","123/3","Nippon Soken, Inc.",3,"JP","",384280,3,"123/700"
1979,"4143621","123/491","Allied Chemical Corporation",2,"US","NJ",122439,1,"123/491"
1979,"4143622","123/696","Robert Bosch GmbH",3,"DE","",423181,4,"180/313"
1979,"4143623","123/682","Nippondenso Co., Ltd.",3,"JP","",316278,2,"180/287"
1979,"4143624","123/291","Daimler-Benz Aktiengesellschaft",3,"DE","",329040,1,"180/90.6"
1979,"4143625","123/470","Robert Bosch GmbH",3,"DE","",423181,1,"180/313"
1979,"4143626","123/73A","Performance Industries, Inc.",2,"US","PA",99471,1,"123/73A"
1979,"4143627","123/274","Nippon Soken, Inc.",3,"JP","",384280,4,"123/700"
1979,"4143628","123/78A","Skarblacka Bil & Motor AB",3,"SE","",288968,1,"123/78A"
1979,"4143629","123/90.16","Caterpillar Tractor Co.",2,"US","IL",298496,4,"180/9.62"
1979,"4143630","123/406.73","Ford Motor Company",2,"US","MI",172641,1,"180/89.14"
1979,"4143631","123/452","Robert Bosch GmbH",3,"DE","",423181,1,"180/313"
1979,"4143632","123/502","Diesel Kiki Co., Ltd.",3,"JP","",148189,1,"123/502"
1979,"4143633","123/599","Autotronic Controls Corporation",2,"US","TX",365084,1,"123/599"
1979,"4143634","123/179.15","Robert Bosch GmbH",3,"DE","",423181,2,"180/313"
1979,"4143635","123/481","Nissan Motor Co., Ltd.",3,"JP","",43058,2,"180/90"
1979,"4144771","123/78E","Vadetec Corporation",2,"US","MI",117385,2,"123/78E"
1979,"4144847","123/682","Nissan Motor Co., Ltd.",3,"JP","",43058,1,"180/90"
1979,"4144848","123/293","Honda Giken Kogyo Kabushiki Kaisha",3,"JP","",439112,2,"180/423"
1979,"4144849","123/41.54","Daimler-Benz Aktiengesellschaft",3,"DE","",329040,1,"180/90.6"
1979,"4144850","123/184.52","Honda Giken Kogyo Kabushiki Kaisha",3,"JP","",439112,2,"180/423"
1979,"4144851","123/78C","Promac Corporation",2,"US","IL",193188,1,"123/78C"
1979,"4144852","123/320","Toyota Jidosha Kabushiki Kaisha",3,"JP","",2267,2,"180/68.4"
1979,"4144853","123/339.11","Nissan Motor Co., Ltd.",3,"JP","",43058,2,"180/90"
1979,"4144854","123/406.57","Hitachi, Ltd.",3,"JP","",436191,3,"123/685"
1979,"4144855","123/588","Toyota Jidosha Kabushiki Kaisha",3,"JP","",2267,2,"180/68.4"
