years,patent_number,uspc_subclass_id,assignee_organization,assignee_type,assignee_id,assignee_country,assignee_state,assignee_key_id,num_inventors,specialization
1980,4230079,123/676,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,4.0,180/84
1980,4230080,123/568.18,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,2.0,180/335
1980,4230083,123/450,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,2.0,180/335
1980,4230084,123/185.14,Honda Giken Kogyo Kabushiki Kaisha,3,org_yUTZSCLdspe7vDSdzJ6d,JP,,439112,3.0,180/90
1980,4230085,123/185.2,Outboard Marine Corporation,2,org_icOeR6vUjVNKnOf3kYqL,US,IL,194737,1.0,180/343
1980,4230087,123/193.3,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,3.0,180/90
1980,4230448,123/434,"Combustion Electromagnetics, Inc.",2,org_dFEEZHvXc2i5ljPSu3N9,US,MA,122691,2.0,123/434
1980,4230491,123/90.51,"Stanadyne, Inc.",2,org_7zGswU1HKlqRbbwRdZ0L,US,CT,58681,1.0,123/90.55
1980,4230646,123/1R,"Aquascooter, Inc.",2,org_gNw1SwvZXLvqntYSGoJh,US,NJ,170688,1.0,123/1R
1980,4231091,123/406.65,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4231267,123/90.48,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4231329,123/184.46,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,1.0,180/84
1980,4231330,123/90.15,Alfa Romeo S.p.A.,3,org_GSnITYQqMqxK2IXE8gfz,IT,,172867,1.0,123/90.15
1980,4231331,123/406.48,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,3.0,180/90
1980,4231332,123/406.61,"Motorola, Inc.",2,org_NKsxikGVm2cvWxVCf6ze,US,IL,272459,1.0,123/618
1980,4231334,123/691,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,1.0,180/335
1980,4231335,123/687,BorgWarner Inc.,2,org_gAtcoPgihmNKjvJKWNLC,US,IL,164375,4.0,180/253
1980,4231336,123/568.2,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,1.0,180/84
1980,4231337,123/568.18,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,2.0,180/309
1980,4231338,123/681,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,2.0,180/90
1980,4231339,123/308,Yamaha Hatsudoki Kabushiki Kaisha,3,org_AWJtrc4zxt2k6ERLmrw8,JP,,86684,2.0,180/228
1980,4231340,123/676,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,4.0,180/309
1980,4231341,123/552,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,2.0,180/84
1980,4231342,123/557,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4231343,123/556,Filterwerk Mann & Hummel GmbH,3,org_z8V5K2Yonie7W3qASxUm,DE,,443755,4.0,180/68.3
1980,4231344,123/518,Centro Ricerche Fiat S.p.A.,3,org_wDVoacdlMEJVs9aW9vIn,IT,,401685,2.0,123/518
1980,4231345,123/510,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,5.0,180/335
